Belize,BLZ,"International tourism, number of arrivals",ST.INT.ARVL,342000.0,349000.0,305000.0,300000.0,340000.0,374000.0,385000.0,694000.0,999000.0,1329000.0,1037000.0,903000.0,880000.0,846000.0,941000.0,1054000.0,1106000.0,1028000.0,1022000.0,1289000.0,1299000.0,1391000.0,1441000.0,1697000.0,1674000.0,487000.0
Bermuda,BMU,"International tourism, number of arrivals",ST.INT.ARVL,557000.0,570000.0,562000.0,558000.0,549000.0,539000.0,458000.0,484000.0,483000.0,478000.0,517000.0,635000.0,660000.0,550000.0,554000.0,580000.0,652000.0,610000.0,576000.0,580000.0,597000.0,642000.0,688000.0,766000.0,805000.0,51400.00153
Bolivia,BOL,"International tourism, number of arrivals",ST.INT.ARVL,284000.0,313000.0,355000.0,387000.0,342000.0,319000.0,316000.0,334000.0,427000.0,480000.0,524000.0,521000.0,573000.0,594000.0,599000.0,679000.0,711000.0,798000.0,798000.0,871000.0,882000.0,961000.0,1109000.0,1142000.0,1239000.0,323299.9878
Brazil,BRA,"International tourism, number of arrivals",ST.INT.ARVL,1991000.0,2666000.0,2850000.0,4818000.0,5107000.0,5313000.0,4773000.0,3785000.0,4133000.0,4794000.0,5358000.0,5017000.0,5026000.0,5050000.0,4802000.0,5161000.0,5433000.0,5677000.0,5813000.0,6430000.0,6306000.0,6547000.0,6589000.0,6621000.0,6353000.0,
Barbados,BRB,"International tourism, number of arrivals",ST.INT.ARVL,927000.0,957000.0,990000.0,1019000.0,947000.0,1078000.0,1035000.0,1021000.0,1090000.0,1273000.0,1111000.0,1102000.0,1191000.0,1165000.0,1154000.0,1197000.0,1187000.0,1053000.0,1079000.0,1079000.0,1179000.0,1227000.0,1345000.0,1356000.0,966000.0,
Brunei Darussalam,BRN,"International tourism, number of arrivals",ST.INT.ARVL,498000.0,837000.0,643000.0,964000.0,967000.0,984000.0,840000.0,891000.0,944000.0,,815000.0,836000.0,877000.0,,,,,,,,,4257000.0,4316000.0,4521000.0,4449000.0,1071000.0
Bhutan,BTN,"International tourism, number of arrivals",ST.INT.ARVL,4800.000191,5199.999809,5400.000095,6199.999809,7199.999809,7599.999905,6400.000095,5599.999905,6300.000191,9199.999809,13600.00038,17299.99924,21000.0,28000.0,23000.0,41000.0,66000.0,105000.0,116000.0,133000.0,155000.0,210000.0,255000.0,274000.0,316000.0,29799.99924
Botswana,BWA,"International tourism, number of arrivals",ST.INT.ARVL,636000.0,656000.0,765000.0,940000.0,1039000.0,1306000.0,1451000.0,1485000.0,1592000.0,1727000.0,1684000.0,1642000.0,1965000.0,2344000.0,,,,,,,1660000.0,1712000.0,1775000.0,1830000.0,,
Central African Republic,CAF,"International tourism, number of arrivals",ST.INT.ARVL,26000.0,21000.0,17000.0,7500.0,10000.0,11199.99981,9899.999619,2900.000095,5699.999809,8199.999809,12000.0,13800.00019,17100.00038,30600.00038,52400.00153,53799.99924,65400.00153,70800.00305,83500.0,95699.99695,120500.0,82000.0,107000.0,109000.0,87000.0,
Canada,CAN,"International tourism, number of arrivals",ST.INT.ARVL,41657000.0,43256000.0,45076000.0,48064000.0,49055000.0,48638000.0,47147000.0,44896000.0,38903000.0,38845000.0,36160000.0,33390000.0,30373000.0,27370000.0,24696000.0,25621000.0,25066000.0,25318000.0,25167000.0,25558000.0,27555000.0,30142000.0,31081000.0,31274000.0,32430000.0,
Central Europe and the Baltics,CEB,"International tourism, number of arrivals",ST.INT.ARVL,188652644.9,199135866.3,203579244.0,200151256.8,200062962.0,206946379.3,182538824.4,173510081.4,177955845.4,200553517.6,208136165.2,215062885.9,222544621.8,217002009.9,205767642.4,211503443.3,219665361.6,230513827.8,239484451.8,247176982.1,265484205.1,282858334.2,293799709.7,301502122.5,314638365.1,
